feature	partner	sample_name	feature_match	feature_match_1	feature_match_2	feature_match_3	feature_match_4	evidence	cancerhotspots_bin	cancerhotspots3D_bin	cgc_bin	cosmic_bin	gsea_pathways_bin	gsea_modules_bin
LHFPL3	KMT2E	ACH-000963	0	0	0	0	0		0	0	0	1	0	0
PAGE5	MAP2K4	ACH-000963	0	0	0	0	0		0	0	0	1	0	0
GPR179	MRPL45	ACH-000138	0	0	0	0	0		0	0	0	1	0	0
RRP1B	AGPAT3	ACH-000138	0	0	0	0	0		0	0	0	1	0	1
ZDHHC17	CTTNBP2NL	ACH-000138	0	0	0	0	0		0	0	0	1	0	0
GLOD4	VPS53	ACH-001023	0	0	0	0	0		0	0	0	1	0	1
LINC01494	MIR4435-2HG	ACH-001023	0	0	0	0	0		0	0	0	0	0	0
MACROD2	PLCB1	ACH-001023	0	0	0	0	0		0	0	0	1	0	0
MEOX2	RADIL	ACH-001023	0	0	0	0	0		0	0	0	1	0	0
NADSYN1	PDGFRA	ACH-001023	0	0	0	0	0		0	0	0	1	0	1
OR10J1	FCHSD2	ACH-001023	0	0	0	0	0		0	0	0	1	0	0
QSOX1	RNF220	ACH-001023	0	0	0	0	0		0	0	0	1	0	1
SHISAL2B	MTREX	ACH-001023	0	0	0	0	0		0	0	0	0	0	0
SPINDOC	OTUB1	ACH-001023	0	0	0	0	0		0	0	0	0	0	0
TMEM260	OTX2-AS1	ACH-001023	0	0	0	0	0		0	0	0	0	0	0
CLDN1	COPS2	ACH-000867	0	0	0	0	0		0	0	0	1	0	1
DNAJC13	PIGB	ACH-000867	0	0	0	0	0		0	0	0	1	0	1
ERI3	TTLL7	ACH-000867	0	0	0	0	0		0	0	0	1	0	0
FSIP1	HERC1	ACH-000867	0	0	0	0	0		0	0	0	1	0	0
HIVEP3	PRKACB	ACH-000867	0	0	0	0	0		0	0	0	1	0	0
HMGN5	BRWD3	ACH-000867	0	0	0	0	0		0	0	0	1	0	1
MAPK6	PYGO1	ACH-000867	0	0	0	0	0		0	0	0	1	0	1
MECOM	PRKCI	ACH-000867	0	0	0	0	0		0	1	1	1	1	1
MIER1	KDM5B	ACH-000867	0	0	0	0	0		0	0	0	1	0	0
NOL6	APTX	ACH-000867	0	0	0	0	0		0	0	0	1	0	1
PDE3A	NMT2	ACH-000867	0	0	0	0	0		0	0	0	1	0	0
PIP4K2A	SVIL	ACH-000867	0	0	0	0	0		0	0	0	1	0	0
SHC4	CCPG1	ACH-000867	0	0	0	0	0		0	0	0	1	0	0
TLN2	DNAJC13	ACH-000867	0	0	0	0	0		0	0	0	1	0	0
TXNRD2	UFD1	ACH-000867	0	0	0	0	0		0	0	0	1	0	0
BAG4	DDHD2	ACH-001024	0	0	0	0	0		0	0	0	1	0	0
C1orf105	DNM3	ACH-001024	0	0	0	0	0		0	0	0	1	0	1
CREM	EWSR1	ACH-001024	0	0	0	0	0		0	0	0	1	0	1
CRYBB2	KIAA1671	ACH-001024	0	0	0	0	0		0	0	0	1	0	1
CSE1L	BCAS1	ACH-001024	0	0	0	0	0		0	0	0	1	0	1
EML6	SPTBN1	ACH-001024	0	0	0	0	0		0	0	0	1	0	0
LINC01440	CHD6	ACH-001024	0	0	0	0	0		0	0	0	0	0	0
RUFY1	SQSTM1	ACH-001024	0	0	0	0	0		0	0	0	1	0	0
SLC35A1	TSHZ2	ACH-001024	0	0	0	0	0		0	0	0	1	0	0
TJP1	FAM189A1	ACH-001024	0	0	0	0	0		0	0	0	1	0	1
TYRL	RALGAPA2	ACH-001024	0	0	0	0	0		0	0	0	0	0	0
ALKBH1	SPTLC2	ACH-000249	0	0	0	0	0		0	0	0	1	0	1
DSG1	GATA6	ACH-000249	0	0	0	0	0		0	0	0	1	0	1
PLXDC1	NF1	ACH-000249	0	0	0	0	0		0	0	0	1	0	0
SLC25A24P1	STXBP3	ACH-000249	0	0	0	0	0		0	0	0	0	0	0
C16orf47	ZFHX3	ACH-001039	0	0	0	0	0		0	0	0	1	0	0
HLA-DRB1	LONP1	ACH-001039	0	0	0	0	0		0	0	0	1	0	1
RNF166	MVD	ACH-001039	0	0	0	0	0		0	0	0	1	0	0
SSR2	ADAR	ACH-001039	0	0	0	0	0		0	0	0	1	0	1
BMP8B	MFSD2A	ACH-000803	0	0	0	0	0		0	0	0	1	0	0
COL9A2	NFYC	ACH-000803	0	0	0	0	0		0	0	0	1	0	1
NFYC	EXO5	ACH-000803	0	0	0	0	0		0	0	0	1	0	1
NFYC-AS1	EXO5	ACH-000803	0	0	0	0	0		0	0	0	0	0	0
RIMS3	RLF	ACH-000803	0	0	0	0	0		0	0	0	1	0	1
RLF	ZFP69B	ACH-000803	0	0	0	0	0		0	0	0	1	0	1
TRIT1	ZMPSTE24	ACH-000803	0	0	0	0	0		0	0	0	1	0	1
ZFP69B	NFYC	ACH-000803	0	0	0	0	0		0	0	0	0	0	0
LINC00491	PPP2CA	ACH-000717	0	0	0	0	0		0	0	0	0	0	0
LYST	PWWP2B	ACH-000717	0	0	0	0	0		0	0	0	1	0	0
SP1	PCBP2	ACH-000717	0	0	0	0	0		0	0	0	1	0	1
TACC1	MTUS1	ACH-000717	0	0	0	0	0		0	0	0	1	0	1
VMP1	RPS6KB1	ACH-000717	0	0	0	0	0		0	0	0	1	0	1
QSOX1	RNF220	ACH-000864	0	0	0	0	0		0	0	0	1	0	1
TMEM260	OTX2-AS1	ACH-000864	0	0	0	0	0		0	0	0	0	0	0
COL14A1	FGFR2	ACH-000812	0	0	0	0	0		0	0	0	1	0	0
EYA2	NCOA3	ACH-000812	0	0	0	0	0		0	0	0	1	0	1
FAM110C	FANCL	ACH-000812	0	0	0	0	0		0	0	0	1	0	0
KAZN	PLEKHM2	ACH-000812	0	0	0	0	0		0	0	0	1	0	0
NARS2	GAB2	ACH-000812	0	0	0	0	0		0	0	0	1	0	0
PVT1	MSRA	ACH-000812	0	0	0	0	0		0	0	0	0	0	0
SLC5A10	FRMD6	ACH-000968	0	0	0	0	0		0	0	0	1	0	0
TTLL3	IL17RC	ACH-000968	0	0	0	0	0		0	0	0	1	0	1
CLSTN2	HEG1	ACH-000401	0	0	0	0	0		0	0	0	1	0	0
BTC	EREG	ACH-000161	0	0	0	0	0		0	0	0	1	0	1
KMT5B	CHKA	ACH-000161	0	0	0	0	0		0	0	0	0	0	0
PDE6G	NPLOC4	ACH-000161	0	0	0	0	0		0	0	0	1	0	0
STK32B	EVC	ACH-000161	0	0	0	0	0		0	0	0	1	0	1
AGBL1	CHD2	ACH-000257	0	0	0	0	0		0	0	0	1	0	0
GINS3	WDR59	ACH-000257	0	0	0	0	0		0	0	0	1	0	1
GOT2	CDH11	ACH-000257	0	0	0	0	0		0	0	0	1	0	1
MARCH6	BNIP3	ACH-000257	0	0	0	0	0		0	0	0	1	0	1
RAPGEFL1	WIPF2	ACH-000257	0	0	0	0	0		0	0	0	1	0	0
TMEM65	CASC11	ACH-000257	0	0	0	0	0		0	0	0	1	0	1
ATG5	PVT1	ACH-000187	0	0	0	0	0		0	0	0	1	0	1
COL6A3	KYNU	ACH-000187	0	0	0	0	0		0	0	0	1	0	1
CWF19L2	TTC12	ACH-000187	0	0	0	0	0		0	0	0	1	0	0
FGD4	DNM1L	ACH-000187	0	0	0	0	0		0	0	0	1	0	1
HS6ST3	DNAJC3	ACH-000187	0	0	0	0	0		0	0	0	1	0	0
KYNU	IQCA1	ACH-000187	0	0	0	0	0		0	0	0	1	0	1
PRTFDC1	ARHGAP23	ACH-000187	0	0	0	0	0		0	0	0	1	0	1
RABGAP1L	ZNF124	ACH-000187	0	0	0	0	0		0	1	0	1	0	0
SCAP	SETD2	ACH-000187	0	0	0	0	0		0	0	0	1	0	1
SLC35A1	TSHZ2	ACH-000187	0	0	0	0	0		0	0	0	1	0	0
TNFRSF17	CLEC16A	ACH-000187	0	0	0	0	0		0	0	1	1	0	1
USP28	NCAM1	ACH-000187	0	0	0	0	0		0	0	0	1	0	0
AGMAT	DNAJC16	ACH-000508	0	0	0	0	0		0	0	0	1	0	0
EGFLAM	PRKAA1	ACH-000508	0	0	0	0	0		0	0	0	1	0	0
KPNA6	PSMB2	ACH-000508	0	0	0	0	0		0	0	0	0	0	0
MAP2K3	NLN	ACH-000508	0	0	0	0	0		0	0	0	1	0	1
NENF	ARHGAP24	ACH-000508	0	0	0	0	0		0	0	0	1	0	0
NLN	SGTB	ACH-000508	0	0	0	0	0		0	0	0	1	0	1
NPHP4	ACOT7	ACH-000508	0	0	0	0	0		0	0	0	1	0	0
PRDM16	TMEM39B	ACH-000508	0	0	0	0	0		0	0	1	1	0	0
RGR	CCSER2	ACH-000508	0	0	0	0	0		0	0	0	1	0	1
SLC25A33	RERE	ACH-000508	0	0	0	0	0		0	0	0	1	0	1
TPK1	CAPZA2	ACH-000508	0	0	0	0	0		0	0	0	1	0	1
ZMYM6	JPH1	ACH-000508	0	0	0	0	0		0	0	0	1	0	1
ARHGAP45	DAZAP1	ACH-001049	0	0	0	0	0		0	0	0	0	0	0
EYA1	PVT1	ACH-001049	0	0	0	0	0		0	0	0	1	0	1
KIAA2026	ERMP1	ACH-001049	0	0	0	0	0		0	0	0	1	0	0
PSD3	PVT1	ACH-001049	0	0	0	0	0		0	0	0	1	0	0
RGPD4	ANAPC1	ACH-001049	0	0	0	0	0		0	0	0	1	0	0
ZNF587B	ZNF417	ACH-001049	0	0	0	0	0		0	0	0	1	0	0
TMEM260	OTX2-AS1	ACH-000055	0	0	0	0	0		0	0	0	0	0	0
DDX50	KAT6B	ACH-000243	0	0	0	0	0		0	0	0	1	0	0
MEN1	MACROD1	ACH-000243	0	0	0	0	0		0	0	1	1	0	1
RBKS	PUM2	ACH-000243	0	0	0	0	0		0	0	0	1	0	0
ZC3H15	ITGAV	ACH-000243	0	0	0	0	0		0	0	0	1	0	0
ZCCHC7	MELK	ACH-000243	0	0	0	0	0		0	0	0	1	0	0
B3GNTL1	SPAG7	ACH-000211	0	0	0	0	0		0	0	0	1	0	0
ERBIN	NLN	ACH-000211	0	0	0	0	0		0	0	0	0	0	0
PGAM5	EP400	ACH-000211	0	0	0	0	0		0	0	0	1	0	0
PIP4K2B	PCGF2	ACH-000211	0	0	0	0	0		0	0	0	1	0	1
SERPINF1	B3GNTL1	ACH-000211	0	0	0	0	0		0	0	0	1	0	1
SET	CAAP1	ACH-000211	0	0	0	0	0		0	0	1	1	1	0
SLC43A2	ABR	ACH-000211	0	0	0	0	0		0	0	0	1	0	0
VMP1	RPS6KB1	ACH-000211	0	0	0	0	0		0	0	0	1	0	1
COL1A2	COL1A1	ACH-000244	0	0	0	0	0		0	0	0	1	0	1
COL3A1	COL1A1	ACH-000244	0	0	0	0	0		0	1	1	1	0	1
IL22	NUP107	ACH-000244	0	0	0	0	0		0	0	0	1	0	0
LINC00839	ZNF33A	ACH-000244	0	0	0	0	0		0	0	0	0	0	0
LINC01445	SEC61G	ACH-000244	0	0	0	0	0		0	0	0	0	0	0
SLC25A5P3	SEC61G	ACH-000244	0	0	0	0	0		0	0	0	0	0	0
FOXO6	SCMH1	ACH-000749	0	0	0	0	0		0	0	0	1	0	0
POGZ	FHL3	ACH-000749	0	0	0	0	0		0	0	0	1	0	0
RFX5	SMAP2	ACH-000749	0	0	0	0	0		0	0	0	1	0	1
ZFPM2	PDIA4	ACH-000749	0	0	0	0	0		0	0	0	1	0	1
CNTLN	USP43	ACH-000698	0	0	0	0	0		0	0	0	1	0	0
DAPK2	HERC1	ACH-000698	0	0	0	0	0		0	0	0	1	1	1
EFCAB2	KIF26B	ACH-000698	0	0	0	0	0		0	0	0	1	0	1
OR7E47P	KRT7	ACH-000698	0	0	0	0	0		0	0	0	0	0	0
PRMT8	GALNT8	ACH-000698	0	0	0	0	0		0	0	0	1	0	0
RAB1B	TMEM260	ACH-000698	0	0	0	0	0		0	0	0	1	0	0
RNA28S5	KIAA0232	ACH-000698	0	0	0	0	0		0	0	0	0	0	0
STAT5A	NLRP1	ACH-000698	0	0	0	0	0		0	0	0	1	1	1
TRIM3	CPNE8	ACH-000698	0	0	0	0	0		0	0	0	1	0	0
TSPAN9	RASSF8	ACH-000698	0	0	0	0	0		0	0	0	1	0	0
RPL31P11	LDLR	ACH-000979	0	0	0	0	0		0	0	0	0	0	0
SLC25A21	RTRAF	ACH-000979	0	0	0	0	0		0	0	0	1	0	1
ABLIM1	AFAP1L2	ACH-000258	0	0	0	0	0		0	0	0	1	0	1
ADCY7	NKD1	ACH-000258	0	0	0	0	0		0	0	0	1	0	1
DCLRE1C	MINDY3	ACH-000258	0	0	0	0	0		0	0	0	1	0	1
PAPD5	NKD1	ACH-000258	0	0	0	0	0		0	0	0	1	0	0
RIT1	ASH1L	ACH-000258	0	0	0	0	0		1	0	0	1	0	1
VPS4A	CYB5B	ACH-000258	0	0	0	0	0		0	0	0	1	0	0
CD82	B9D1	ACH-000563	0	0	0	0	0		0	0	0	1	0	1
CDK10	FANCA	ACH-000563	0	0	0	0	0		0	0	0	1	0	1
EP300	BCL2L13	ACH-000563	0	0	0	0	0		1	1	1	1	1	1
FANCA	CHMP1A	ACH-000563	0	0	0	0	0		0	0	1	1	0	1
GAB2	ZNF227	ACH-000563	0	0	0	0	0		0	0	0	1	0	1
GABRB3	MGA	ACH-000563	0	0	0	0	0		0	0	0	1	0	1
GREB1L	C18orf25	ACH-000563	0	0	0	0	0		0	0	0	1	0	0
PACSIN2	CENPM	ACH-000563	0	0	0	0	0		0	0	0	1	0	1
PKP4	TANC1	ACH-000563	0	0	0	0	0		0	0	0	1	0	1
SHC4	MYO5C	ACH-000563	0	0	0	0	0		0	0	0	1	0	0
TNFSF10	ANTXR2	ACH-000563	0	0	0	0	0		0	0	0	1	0	1
ADCY7	NKD1	ACH-000560	0	0	0	0	0		0	0	0	1	0	1
AP3S1	SLC12A2	ACH-000560	0	0	0	0	0		0	0	0	1	0	1
GRIA4	CWC27	ACH-000560	0	0	0	0	0		0	0	0	1	0	1
SAP130	WDR33	ACH-000560	0	0	0	0	0		0	0	0	1	0	0
XRCC6	SNU13	ACH-000560	0	0	0	0	0		0	0	0	1	0	1
YTHDC2	APC	ACH-000560	0	0	0	0	0		0	0	0	1	0	0
DNAAF4-CCPG1	CCPG1	ACH-000305	0	0	0	0	0		0	0	0	0	0	0
GABRB1	NFXL1	ACH-000305	0	0	0	0	0		0	0	0	1	0	1
LINC00393	NALCN	ACH-000305	0	0	0	0	0		0	0	0	0	0	0
PAMR1	CD44	ACH-000305	0	0	0	0	0		0	0	0	1	0	1
APCDD1L-DT	ARFGEF2	ACH-000117	0	0	0	0	0		0	0	0	0	0	0
ARFGEF2	PREX1	ACH-000117	0	0	0	0	0		0	0	0	1	0	1
CISD3	HOXB6	ACH-000117	0	0	0	0	0		0	0	0	1	0	0
EYA2	MED13	ACH-000117	0	0	0	0	0		0	0	0	1	0	1
GRM5-AS1	TMEM135	ACH-000117	0	0	0	0	0		0	0	0	0	0	0
HOXB-AS3	PCGF2	ACH-000117	0	0	0	0	0		0	0	0	0	0	0
HSD17B12	DEPDC1B	ACH-000117	0	0	0	0	0		0	0	0	1	0	1
KRT222	ARFGEF2	ACH-000117	0	0	0	0	0		0	0	0	1	0	0
LINC01499	ORAOV1	ACH-000117	0	0	0	0	0		0	0	0	0	0	0
NUP160	INTS4	ACH-000117	0	0	0	0	0		0	0	0	1	0	1
PDZK1IP1	TESK2	ACH-000117	0	0	0	0	0		0	0	0	1	0	1
SGCA	WIPF2	ACH-000117	0	0	0	0	0		0	0	0	1	0	1
TEK	MOB3B	ACH-000117	0	0	0	0	0		0	0	0	1	0	1
TMEM74	MATN2	ACH-000117	0	0	0	0	0		0	0	0	1	0	0
XPOT	HELZ2	ACH-000117	0	0	0	0	0		0	0	0	1	0	1
ATP10D	SLC30A9	ACH-000330	0	0	0	0	0		0	0	0	1	0	1
CFAP58-DT	WBP1L	ACH-000330	0	0	0	0	0		0	0	0	0	0	0
CHD9	CRLF3	ACH-000330	0	0	0	0	0		0	0	0	1	0	1
FAM219A	ZCCHC7	ACH-000330	0	0	0	0	0		0	0	0	1	0	0
HCG20	THRAP3	ACH-000330	0	0	0	0	0		0	0	0	0	0	0
PIPOX	PIGL	ACH-000330	0	0	0	0	0		0	0	0	1	0	0
TG	BCAS3	ACH-000330	0	0	0	0	0		0	0	0	1	0	1
TNRC6C	MAP2K6	ACH-000330	0	0	0	0	0		0	0	0	1	0	0
UBC	SCARB1	ACH-000330	0	0	0	0	0		0	0	0	1	0	0
USP33	ZFYVE9	ACH-000330	0	0	0	0	0		0	0	0	1	0	0
ZFYVE9	KIRREL1	ACH-000330	0	0	0	0	0		0	0	0	1	1	0
ZNF771	FBRS	ACH-000330	0	0	0	0	0		0	0	0	1	0	0
CASC8	CCAT1	ACH-000308	0	0	0	0	0		0	0	0	0	0	0
CDK13	RALA	ACH-000308	0	0	0	0	0		0	0	0	1	0	1
DHX57	SRSF7	ACH-000308	0	0	0	0	0		0	0	0	1	0	0
GNL3L	FAM155A	ACH-000308	0	0	0	0	0		0	0	0	1	0	0
IDI2-AS1	LARP4B	ACH-000308	0	0	0	0	0		0	0	0	0	0	0
NEK10	SLC4A7	ACH-000308	0	0	0	0	0		0	0	0	1	0	0
PARP6	ZNF787	ACH-000308	0	0	0	0	0		0	0	0	1	0	0
SH3D19	DLG1	ACH-000308	0	0	0	0	0		0	0	0	1	0	0
SUGCT	CDK13	ACH-000308	0	0	0	0	0		0	0	0	0	0	0
TMEM135	PRSS23	ACH-000308	0	0	0	0	0		0	0	0	1	0	0
BRAP	ATXN2	ACH-000706	0	0	0	0	0		0	0	0	1	0	1
CUL5	DDX10	ACH-000706	0	0	0	0	0		0	1	0	1	0	0
DEUP1	UVRAG	ACH-000706	0	0	0	0	0		0	0	0	0	0	0
GPD1L	TGFBR2	ACH-000706	0	0	0	0	0		0	0	0	1	0	1
MMP10	NARS2	ACH-000706	0	0	0	0	0		0	0	0	1	0	1
NDRG3	DLGAP4-AS1	ACH-000706	0	0	0	0	0		0	0	0	1	0	0
ZDHHC24	NEU3	ACH-000706	0	0	0	0	0		0	0	0	1	0	0
ACTB	TNRC18	ACH-000585	0	0	0	0	0		0	0	0	1	0	0
FOXK2	MSI2	ACH-000585	0	0	0	0	0		0	0	0	1	0	1
FYB2	CUX1	ACH-000585	0	0	0	0	0		0	0	0	0	0	0
MGAT5B	TANC2	ACH-000585	0	0	0	0	0		0	0	0	1	0	0
NUFIP2	SLFN11	ACH-000585	0	0	0	0	0		0	0	0	1	0	1
PPM1E	NCBP3	ACH-000585	0	0	0	0	0		0	0	0	1	0	1
SGSH	PITPNC1	ACH-000585	0	0	0	0	0		0	0	0	1	0	1
SNAP91	ME1	ACH-000585	0	0	0	0	0		0	0	0	1	0	1
SYCP2	ERC1	ACH-000585	0	0	0	0	0		0	0	0	1	0	1
ARHGAP42	GDPD5	ACH-000906	0	0	0	0	0		0	0	0	1	0	0
CHKA	ACER3	ACH-000906	0	0	0	0	0		0	0	0	1	0	1
CNTN5	NELFA	ACH-000906	0	0	0	0	0		0	0	0	1	0	1
JRKL	FAM76B	ACH-000906	0	0	0	0	0		0	0	0	1	0	1
MAML2	YAP1	ACH-000906	0	0	0	0	0		0	0	1	1	0	0
MYEOV	ARHGAP42	ACH-000906	0	0	0	0	0		0	0	0	1	0	0
SMOC2	ZNF738	ACH-000906	0	0	0	0	0		0	0	0	1	0	1
ADGRD1	STX2	ACH-001065	0	0	0	0	0		0	0	0	0	0	0
CAP1	ZMPSTE24	ACH-001065	0	0	0	0	0		0	0	0	1	0	1
EDARADD	GPR137B	ACH-001065	0	0	0	0	0		0	0	0	1	0	1
KLHDC10	DIAPH3	ACH-001065	0	0	0	0	0		0	0	0	1	0	1
MIIP	VPS13D	ACH-001065	0	0	0	0	0		0	0	0	1	0	0
MIPOL1	TTC6	ACH-001065	0	0	0	0	0		0	0	0	1	0	1
NBEAL1	PARD3B	ACH-001065	0	0	0	0	0		0	0	0	1	0	0
PFKFB2	NAXE	ACH-001065	0	0	0	0	0		0	0	0	1	0	1
RACGAP1	NCKAP5L	ACH-001065	0	0	0	0	0		0	0	0	1	0	0
SOCS2	CRADD	ACH-001065	0	0	0	0	0		0	0	0	1	0	1
SREBF2	NDUFA6-DT	ACH-001065	0	0	0	0	0		0	0	0	1	0	1
SRRM3	ZP3	ACH-001065	0	0	0	0	0		0	0	0	1	0	0
TMEM219	TAOK2	ACH-001065	0	0	0	0	0		0	0	0	1	0	0
TMEM68	NSD3	ACH-001065	0	0	0	0	0		0	0	0	1	0	0
WDR75	PARD3B	ACH-001065	0	0	0	0	0		0	1	0	1	0	1
ZNF791	TNPO2	ACH-001065	0	0	0	0	0		0	0	0	1	0	0
ARHGAP6	HUWE1	ACH-000846	0	0	0	0	0		0	0	0	1	0	0
AVL9	DPY19L1P1	ACH-000846	0	0	0	0	0		0	0	0	1	0	1
CYTH1	LGALS3BP	ACH-000846	0	0	0	0	0		0	0	0	1	0	1
DMTF1	TDRD3	ACH-000846	0	0	0	0	0		0	0	0	1	0	0
EIF3L	MICALL1	ACH-000846	0	0	0	0	0		0	0	0	1	0	0
KIAA1324L	DIAPH3	ACH-000846	0	0	0	0	0		0	0	0	1	0	0
MLKL	RFWD3	ACH-000846	0	0	0	0	0		0	0	0	1	0	0
NCOA7	HINT3	ACH-000846	0	0	0	0	0		0	0	0	1	0	1
NUCB1	GSK3A	ACH-000846	0	0	0	0	0		0	0	0	1	0	1
PDK3	MECP2	ACH-000846	0	0	0	0	0		0	0	0	1	0	1
PFKFB1	PHF8	ACH-000846	0	0	0	0	0		0	0	0	1	0	1
PPM1L	CHKA	ACH-000846	0	0	0	0	0		0	0	0	1	0	1
RNA28S5	SLC38A10	ACH-000846	0	0	0	0	0		0	0	0	0	0	0
SCAMP4	CSNK1G2	ACH-000846	0	0	0	0	0		0	0	0	1	0	0
SLC37A1	MRPS6	ACH-000846	0	0	0	0	0		0	0	0	1	0	0
TRERF1	C6orf132	ACH-000846	0	0	0	0	0		0	0	0	1	0	0
VMP1	TUBD1	ACH-000846	0	0	0	0	0		0	0	0	1	0	1
ARID3A	R3HDM4	ACH-000903	0	0	0	0	0		0	0	0	1	0	1
CMSS1	COL8A1	ACH-000903	0	0	0	0	0		0	0	0	0	0	0
CNTNAP2	TPK1	ACH-000903	0	0	0	0	0		0	0	1	1	0	1
LINC01468	VPS26A	ACH-000903	0	0	0	0	0		0	0	0	0	0	0
RNLS	LRMDA	ACH-000903	0	0	0	0	0		0	0	0	1	0	0
TPK1	CNTNAP2	ACH-000903	0	0	0	0	0		0	0	0	1	0	1
ABCB10	AAMDC	ACH-000633	0	0	0	0	0		0	0	0	1	0	1
ANXA4	GMCL1	ACH-000633	0	0	0	0	0		0	0	0	1	0	1
ARMC7	TMEM94	ACH-000633	0	0	0	0	0		0	0	0	1	0	1
BANP	CA5A	ACH-000633	0	0	0	0	0		0	0	0	1	0	0
CA5A	BANP	ACH-000633	0	0	0	0	0		0	0	0	1	0	1
GLOD4	NXN	ACH-000633	0	0	0	0	0		0	0	0	1	0	1
IFT81	ATP2A2	ACH-000633	0	0	0	0	0		0	0	0	1	0	1
MAP7D1	NPHP4	ACH-000633	0	0	0	0	0		0	0	0	1	0	0
OGFOD3	HEXDC	ACH-000633	0	0	0	0	0		0	0	0	0	0	0
PLA2G1B	GATC	ACH-000633	0	0	0	0	0		0	0	0	1	0	0
PRDX5	TRMT112	ACH-000633	0	0	0	0	0		0	0	0	1	0	1
RPS19	SNHG12	ACH-000633	0	0	0	0	0		0	0	0	1	0	1
SLC47A1	KRT19	ACH-000633	0	0	0	0	0		0	0	0	1	0	1
SUSD1	ECPAS	ACH-000633	0	0	0	0	0		0	0	0	1	0	0
TMEM212	FNDC3B	ACH-000633	0	0	0	0	0		0	0	0	1	0	0
WNT4	HSPG2	ACH-000633	0	0	0	0	0		0	0	0	1	1	1
BMT2	DOCK4	ACH-000574	0	0	0	0	0		0	0	0	0	0	0
CLSTN1	RERE	ACH-000574	0	0	0	0	0		0	0	0	1	0	1
CMTM8	FBXL2	ACH-000574	0	0	0	0	0		0	0	0	1	0	0
DOCK3	CDK5RAP1	ACH-000574	0	0	0	0	0		0	0	0	1	0	0
HADHA	DTNB	ACH-000574	0	0	0	0	0		0	0	0	1	0	1
MIR924HG	PLEC	ACH-000574	0	0	0	0	0		0	0	0	0	0	0
MUC20	GGA3	ACH-000574	0	0	0	0	0		0	0	0	1	0	0
NADSYN1	DYNC2H1	ACH-000574	0	0	0	0	0		0	0	0	1	0	1
OCM	TECPR1	ACH-000574	0	0	0	0	0		0	0	0	1	0	0
OCM2	TECPR1	ACH-000574	0	0	0	0	0		0	0	0	1	0	0
RILPL2	SLC13A3	ACH-000574	0	0	0	0	0		0	0	0	1	0	0
RIMS2	HMGCR	ACH-000574	0	0	0	0	0		0	0	0	1	0	1
SYNE1	VPS33A	ACH-000574	0	0	0	0	0		0	0	0	1	0	1
TLN2	TPM1	ACH-000574	0	0	0	0	0		0	0	0	1	0	0
UBE2D2	MATR3	ACH-000574	0	0	0	0	0		0	0	0	1	0	1
ACSS3	SRGAP1	ACH-000082	0	0	0	0	0		0	0	0	1	0	0
ADGRG4	HEPH	ACH-000082	0	0	0	0	0		0	0	0	0	0	0
AP3S2	ANPEP	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
BCL2L1	HM13	ACH-000082	0	0	0	0	0		0	0	0	1	1	1
CHST12	COL22A1	ACH-000082	0	0	0	0	0		0	0	0	1	0	0
COPG1	ISY1	ACH-000082	0	0	0	0	0		0	0	0	0	0	0
COX10	TBC1D30	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
CTSB	FDFT1	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
DISC1FP1	CTTN	ACH-000082	0	0	0	0	0		0	0	0	0	0	0
ECE1	COL5A1	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
FAM19A2	ME3	ACH-000082	0	0	0	0	0		0	0	0	1	0	0
FER1L6	COX10	ACH-000082	0	0	0	0	0		0	0	0	1	0	0
GFM1	DOCK1	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
GLCCI1	SDK1	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
KIFC3	DAXX	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
MDM1	WASHC5	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
MSRB3	FAM49B	ACH-000082	0	0	0	0	0		0	0	0	1	0	0
NXPE2	KIF3B	ACH-000082	0	0	0	0	0		0	0	0	0	0	0
PRSS23	TMEM135	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
RXYLT1	GRM5-AS1	ACH-000082	0	0	0	0	0		0	0	0	0	0	0
SIMC1	NIPBL	ACH-000082	0	0	0	0	0		0	0	0	1	0	0
TBK1	MSRB3	ACH-000082	0	0	0	0	0		0	1	0	1	0	0
TG	ASAP1	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
TMEM132B	MED13L	ACH-000082	0	0	0	0	0		0	0	0	1	0	1
TVP23C	MDM2	ACH-000082	0	0	0	0	0		0	0	0	0	0	0
ZFC3H1	GNS	ACH-000082	0	0	0	0	0		0	0	0	1	0	0
ZFPM2-AS1	ZFPM2	ACH-000082	0	0	0	0	0		0	0	0	0	0	0
CYTIP	ACVR1	ACH-000572	0	0	0	0	0		0	0	0	1	0	1
HACD3	RAB11A	ACH-000572	0	0	0	0	0		0	0	0	0	0	0
HERC2	OCA2	ACH-000572	0	0	0	0	0		0	0	0	1	0	1
PDE4C	CDC37	ACH-000572	0	0	0	0	0		0	0	0	1	0	1
PLEKHF1	KDM4B	ACH-000572	0	0	0	0	0		0	0	0	1	0	0
SIRT6	ZNF699	ACH-000572	0	0	0	0	0		0	0	0	1	0	1
